260.0, {'J10': -6.5, 'J11': -68.0, 'J12': -5306.5, 'J13': -72.0, 'cluster3106249630_3106249631_J60_J61_#5more': -899.5}, {'J10': 2, 'J11': 2, 'J12': 14, 'J13': 4, 'cluster3106249630_3106249631_J60_J61_#5more': 9}, {'J10': 2, 'J11': 3, 'J12': 55, 'J13': 6, 'cluster3106249630_3106249631_J60_J61_#5more': 19}, 
265.0, {'J10': 0, 'J11': 0, 'J12': -5703.0, 'J13': -61.0, 'cluster3106249630_3106249631_J60_J61_#5more': -1106.5}, {'J10': 0, 'J11': 0, 'J12': 16, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 12}, {'J10': 0, 'J11': 0, 'J12': 57, 'J13': 4, 'cluster3106249630_3106249631_J60_J61_#5more': 27}, 
270.0, {'J10': 0, 'J11': -0.5, 'J12': -5346.5, 'J13': -45.5, 'cluster3106249630_3106249631_J60_J61_#5more': -1400.0}, {'J10': 0, 'J11': 1, 'J12': 16, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 19}, {'J10': 0, 'J11': 1, 'J12': 57, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 35}, 
275.0, {'J10': -0.5, 'J11': -1.5, 'J12': -5923.0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': -1727.5}, {'J10': 1, 'J11': 1, 'J12': 17, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 25}, {'J10': 1, 'J11': 1, 'J12': 60, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 40}, 
280.0, {'J10': -13.5, 'J11': -15.0, 'J12': -6534.5, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': -2029.0}, {'J10': 1, 'J11': 1, 'J12': 17, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 29}, {'J10': 2, 'J11': 2, 'J12': 64, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 41}, 
285.0, {'J10': -0.5, 'J11': -35.0, 'J12': -6559.5, 'J13': -8.5, 'cluster3106249630_3106249631_J60_J61_#5more': -1738.5}, {'J10': 1, 'J11': 1, 'J12': 15, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 30}, {'J10': 1, 'J11': 2, 'J12': 63, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 37}, 
290.0, {'J10': -11.5, 'J11': -31.5, 'J12': -6175.0, 'J13': -43.0, 'cluster3106249630_3106249631_J60_J61_#5more': -1119.5}, {'J10': 2, 'J11': 1, 'J12': 14, 'J13': 4, 'cluster3106249630_3106249631_J60_J61_#5more': 26}, {'J10': 2, 'J11': 1, 'J12': 54, 'J13': 4, 'cluster3106249630_3106249631_J60_J61_#5more': 30}, 
295.0, {'J10': 0, 'J11': -1.5, 'J12': -6304.0, 'J13': -83.0, 'cluster3106249630_3106249631_J60_J61_#5more': -1225.0}, {'J10': 0, 'J11': 1, 'J12': 14, 'J13': 4, 'cluster3106249630_3106249631_J60_J61_#5more': 25}, {'J10': 0, 'J11': 1, 'J12': 54, 'J13': 4, 'cluster3106249630_3106249631_J60_J61_#5more': 28}, 
300.0, {'J10': -8.5, 'J11': -12.5, 'J12': -6716.5, 'J13': -126.5, 'cluster3106249630_3106249631_J60_J61_#5more': -1428.5}, {'J10': 2, 'J11': 2, 'J12': 14, 'J13': 5, 'cluster3106249630_3106249631_J60_J61_#5more': 25}, {'J10': 3, 'J11': 2, 'J12': 53, 'J13': 5, 'cluster3106249630_3106249631_J60_J61_#5more': 30}, 
305.0, {'J10': -15.0, 'J11': -38.0, 'J12': -6857.0, 'J13': -89.5, 'cluster3106249630_3106249631_J60_J61_#5more': -1745.0}, {'J10': 2, 'J11': 4, 'J12': 13, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 25}, {'J10': 2, 'J11': 4, 'J12': 53, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 37}, 
310.0, {'J10': 0, 'J11': -49.5, 'J12': -6827.5, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': -2137.0}, {'J10': 0, 'J11': 4, 'J12': 17, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 25}, {'J10': 0, 'J11': 6, 'J12': 61, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 44}, 
315.0, {'J10': -4.5, 'J11': -57.5, 'J12': -7133.5, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': -2502.5}, {'J10': 2, 'J11': 2, 'J12': 18, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 30}, {'J10': 2, 'J11': 5, 'J12': 62, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 47}, 
320.0, {'J10': -40.5, 'J11': -55.5, 'J12': -7762.0, 'J13': -4.0, 'cluster3106249630_3106249631_J60_J61_#5more': -2826.0}, {'J10': 5, 'J11': 2, 'J12': 18, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 36}, {'J10': 7, 'J11': 3, 'J12': 64, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 48}, 
325.0, {'J10': -24.5, 'J11': -23.0, 'J12': -8100.5, 'J13': -16.5, 'cluster3106249630_3106249631_J60_J61_#5more': -2815.5}, {'J10': 2, 'J11': 1, 'J12': 18, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 38}, {'J10': 2, 'J11': 1, 'J12': 67, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 47}, 
