jammed_count,start_edge,end_edge,num_edges,example_id,edges
43,-1018612468#1,-305430250#2,17,bike0_2634,-1018612468#1 -171268311 -128079757 128079756#1 128079756#2 128079759#0 1355686495 1075746754#0 1075746753#0 1355686483 237100949#0 237100949#1 237100949#2 36523272#1 36523272#3 -305430250#4.1 -305430250#2
43,-144869729#2,1070316627,8,bike0_5650,-144869729#2 -E41 367476299#0 367471405#0 1329759446#3 654821494#0 654821494#0.63 1070316627
42,-278143066#2,209692820#1,10,bike0_648,-278143066#2 -278143066#1 -278143066#0 -209692779#5 -209692779#4 -209692779#3 -209692779#2 1355686474#1 48598652#0 209692820#1
40,-464692158#1,-27199040#1,12,bike0_4300,-464692158#1 -1067404940 -8123073#7 144381947 266942152#5 27199041#0 27199041#1 27199041#2 27199041#3 -27199042 -27199040#2 -27199040#1
39,27226010#3,496181694#1,10,bike0_169,27226010#3 742302328#0 742302330#1 127496109#0 127496109#1 1323685808#0 1355324272 1355324272.32 742322419#0 496181694#1
39,-27432851#2,-1297403296#0,6,bike0_4519,-27432851#2 -162093000#2 -1356284791 -1081381424 1081381423#0 -1297403296#0
38,-746422997,86370286#0,15,bike0_33,-746422997 1356284885 27203877#0 164695754#1 1694123#0 576383494 162053484#0 209692779#1 209692779#3 209692779#4 209692779#5 209692779#6 209692779#6.58 209692778#1 86370286#0
37,8121740#0,E2,12,bike0_1314,8121740#0 497264739#0 1248122870#1 E16 E16.174 262676813#0 262676813#2 262676813#2.76 420039032 27201304#1 1067190735#0 E2
37,-209692779#8,1075746753#0,10,bike0_2456,-209692779#8 -209692779#5 -209692779#4 -209692779#3 -209692779#2 -162053484#1 -746422998 -27294502#1 27294504#0 1075746753#0
36,1081381423#0,209692820#1,9,bike0_72,1081381423#0 1297403290#1 -776860860 576383502 27203882#0 218228181#1 746422997 47739048 209692820#1
35,-27294503#2,36523265#5,6,bike0_856,-27294503#2 36523265#1 36523265#2 36523265#3 36523265#4 36523265#5
35,-27432851#2,165278579#1,6,bike0_3561,-27432851#2 4250845#0 4250845#4 -1096146332#1 -1096146332#1.23 165278579#1
35,-1097389001#0,-128458335#0,8,bike0_9382,-1097389001#0 1097389001#0 30476997#2 30476997#3 172116962 -128458335#2 -128458335#1 -128458335#0
34,-165278578#0,-135506981,25,bike0_1653,-165278578#0 30476997#0 30476997#2 30476997#3 30476997#4 1356443855#0 1356542862#0 420044917#1 1018614217#0 1018614217#1 1018614217#1.62 497264736 497264736.104 27201305#3 497259157#2.19 1987380#0 128007875#0 128007875#2 86440008#0 86440008#1 86440008#2 86440008#3 86440008#4 86440008#5 -135506981
34,128079759#0,1355686483,5,bike0_3588,128079759#0 1355686495 1075746754#0 1075746753#0 1355686483
34,-596202509,27432851#0,16,bike0_3762,-596202509 1718351#0 1718351#1 1718351#2 1718351#3 1718351#4 1356284884 27280403#0 27203880#1 776860860 1082164221 36244295#1 1081381424 1356284791 162093000#0 27432851#0
33,237225105#0,742322416#3,4,bike0_544,237225105#0 8122269#0 241934521#1 742322416#3
33,497264736.104,27201303#2,11,bike0_905,497264736.104 262671471#2 497252836#0 262676813#0 262676813#2 262676813#2.76 420039032 27201304#1 1067190735#0 E2 27201303#2
32,496181688,-1911242#3,18,bike0_1002,496181688 304123916#0 304123916#3 1329759446#0 1694116#0 1355324238#1 1355324240#1 1355324239#1 1355324237 1355324236 1338818817 207561577#0 1355324235#2 305430250#1 305430250#3 77628809#1 -1911242#4 -1911242#3
30,-1018612470#1,36523272#1,11,bike0_2031,-1018612470#1 -1018612470#0 -417570102#2 1355686495 1075746754#0 1075746753#0 1355686483 237100949#0 237100949#1 237100949#2 36523272#1
30,E0,8121740#0,12,bike0_3788,E0 366013231#0 E3 420039027#0 420044917#1 1018614217#0 1018614217#1 1018614217#1.62 497264736 497264736.104 262671471#2 8121740#0
29,234470016#0,-27203876#3,14,bike0_172,234470016#0 234577460#1 234577460#2 229881046#0 363647271#2 E16 E16.174 262671719#0 497259157#2 497259157#2.19 -86433474#2 -86433474#0 -27203876#4 -27203876#3
29,1248122869#1,169212595,7,bike0_485,1248122869#1 1248122869#2 1163086345#0 1124217846#1 497262589#1 -169212597 169212595
28,162093000#0,788234436,5,bike0_4319,162093000#0 4250845#0 4250845#4 -160100577#1 788234436
28,-1278706408,364393929#0,11,bike0_9879,-1278706408 -1931864#3 -1931864#2 1931866 266942153#3 1081679668#1.6 1081679668#2 -E20 27199045#1 27199045#2 364393929#0
28,-144381942,788234433#0,8,bike0_11521,-144381942 -8123073#3 -8123073#2 -8123073#1 -8123073#0 -788234433#2 -788234433#0 788234433#0
27,237225105#0,E41,5,bike0_52,237225105#0 8122269#0 654821491#1 742322425#0 E41
27,-23803802#2,1355324235#2,17,bike0_676,-23803802#2 23803803 127496109#1 1323685808#0 1355324272 1355324272.32 742322419#0 654821491#1 742322425#0 1355324238#1 1355324240#1 1355324239#1 1355324237 1355324236 1338818817 207561577#0 1355324235#2
26,1911242#3,160350775#0,13,bike0_2123,1911242#3 1911242#4 624807901 -237100949#2 -237100949#1 -237100949#0 -1355686483 209692820#1 209692820#1.56 1075746752#1 -1355686495 1355686496 160350775#0
26,-8123073#0,-E5,6,bike0_8409,-8123073#0 26454216#1 266942152#4 266942152#5 777233097 -E5
