240.0, {'J10': -1.5, 'J11': -4937.0, 'J12': -6071.5, 'J13': -5870.0, 'cluster3106249630_3106249631_J60_J61_#5more': -6716.0}, {'J10': 1, 'J11': 14, 'J12': 20, 'J13': 22, 'cluster3106249630_3106249631_J60_J61_#5more': 36}, {'J10': 1, 'J11': 25, 'J12': 45, 'J13': 33, 'cluster3106249630_3106249631_J60_J61_#5more': 66}, 
245.0, {'J10': -11.5, 'J11': -5187.0, 'J12': -6506.5, 'J13': -6206.5, 'cluster3106249630_3106249631_J60_J61_#5more': -7193.5}, {'J10': 1, 'J11': 14, 'J12': 20, 'J13': 24, 'cluster3106249630_3106249631_J60_J61_#5more': 38}, {'J10': 1, 'J11': 25, 'J12': 49, 'J13': 35, 'cluster3106249630_3106249631_J60_J61_#5more': 66}, 
250.0, {'J10': -21.5, 'J11': -5437.0, 'J12': -7010.5, 'J13': -6563.0, 'cluster3106249630_3106249631_J60_J61_#5more': -7861.5}, {'J10': 1, 'J11': 14, 'J12': 20, 'J13': 26, 'cluster3106249630_3106249631_J60_J61_#5more': 41}, {'J10': 1, 'J11': 25, 'J12': 54, 'J13': 37, 'cluster3106249630_3106249631_J60_J61_#5more': 70}, 
255.0, {'J10': -31.5, 'J11': -5687.0, 'J12': -7429.5, 'J13': -6940.0, 'cluster3106249630_3106249631_J60_J61_#5more': -8574.0}, {'J10': 1, 'J11': 14, 'J12': 20, 'J13': 28, 'cluster3106249630_3106249631_J60_J61_#5more': 42}, {'J10': 1, 'J11': 25, 'J12': 54, 'J13': 39, 'cluster3106249630_3106249631_J60_J61_#5more': 73}, 
260.0, {'J10': -41.5, 'J11': -5937.0, 'J12': -7605.0, 'J13': -7330.0, 'cluster3106249630_3106249631_J60_J61_#5more': -9304.0}, {'J10': 1, 'J11': 14, 'J12': 20, 'J13': 28, 'cluster3106249630_3106249631_J60_J61_#5more': 42}, {'J10': 1, 'J11': 25, 'J12': 48, 'J13': 39, 'cluster3106249630_3106249631_J60_J61_#5more': 73}, 
265.0, {'J10': -51.5, 'J11': -6189.5, 'J12': -7999.5, 'J13': -7723.0, 'cluster3106249630_3106249631_J60_J61_#5more': -10034.0}, {'J10': 1, 'J11': 14, 'J12': 20, 'J13': 28, 'cluster3106249630_3106249631_J60_J61_#5more': 42}, {'J10': 1, 'J11': 26, 'J12': 48, 'J13': 40, 'cluster3106249630_3106249631_J60_J61_#5more': 73}, 
270.0, {'J10': -66.0, 'J11': -6452.5, 'J12': -8481.0, 'J13': -8123.0, 'cluster3106249630_3106249631_J60_J61_#5more': -10764.0}, {'J10': 2, 'J11': 14, 'J12': 20, 'J13': 28, 'cluster3106249630_3106249631_J60_J61_#5more': 42}, {'J10': 2, 'J11': 27, 'J12': 49, 'J13': 40, 'cluster3106249630_3106249631_J60_J61_#5more': 73}, 
275.0, {'J10': -3.5, 'J11': -6726.5, 'J12': -8195.5, 'J13': -8523.0, 'cluster3106249630_3106249631_J60_J61_#5more': -11494.0}, {'J10': 1, 'J11': 14, 'J12': 20, 'J13': 28, 'cluster3106249630_3106249631_J60_J61_#5more': 42}, {'J10': 2, 'J11': 28, 'J12': 46, 'J13': 40, 'cluster3106249630_3106249631_J60_J61_#5more': 73}, 
280.0, {'J10': -12.0, 'J11': -7010.5, 'J12': -6705.0, 'J13': -7535.0, 'cluster3106249630_3106249631_J60_J61_#5more': -11862.0}, {'J10': 2, 'J11': 14, 'J12': 18, 'J13': 26, 'cluster3106249630_3106249631_J60_J61_#5more': 42}, {'J10': 2, 'J11': 29, 'J12': 37, 'J13': 36, 'cluster3106249630_3106249631_J60_J61_#5more': 70}, 
285.0, {'J10': 0, 'J11': -7300.5, 'J12': -6988.0, 'J13': -7482.0, 'cluster3106249630_3106249631_J60_J61_#5more': -12318.0}, {'J10': 0, 'J11': 14, 'J12': 18, 'J13': 26, 'cluster3106249630_3106249631_J60_J61_#5more': 42}, {'J10': 0, 'J11': 29, 'J12': 39, 'J13': 35, 'cluster3106249630_3106249631_J60_J61_#5more': 68}, 
