215.0, {'J10': -2.0, 'J11': 0, 'J12': -3880.0, 'J13': -14.0, 'cluster3106249630_3106249631_J60_J61_#5more': -853.5}, {'J10': 1, 'J11': 0, 'J12': 14, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 12}, {'J10': 1, 'J11': 0, 'J12': 45, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 17}, 
220.0, {'J10': -17.0, 'J11': -5.0, 'J12': -4150.0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': -926.5}, {'J10': 2, 'J11': 1, 'J12': 14, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 12}, {'J10': 2, 'J11': 1, 'J12': 46, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 19}, 
225.0, {'J10': 0, 'J11': -17.5, 'J12': -3616.5, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': -1037.0}, {'J10': 0, 'J11': 1, 'J12': 12, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 15}, {'J10': 0, 'J11': 3, 'J12': 48, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 27}, 
230.0, {'J10': 0, 'J11': -38.0, 'J12': -3180.0, 'J13': -3.5, 'cluster3106249630_3106249631_J60_J61_#5more': -1328.0}, {'J10': 0, 'J11': 2, 'J12': 13, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 17}, {'J10': 0, 'J11': 3, 'J12': 53, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 33}, 
235.0, {'J10': 0, 'J11': -15.5, 'J12': -3556.5, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': -1674.5}, {'J10': 0, 'J11': 1, 'J12': 15, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 17}, {'J10': 0, 'J11': 2, 'J12': 57, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 40}, 
240.0, {'J10': 0, 'J11': -17.0, 'J12': -4150.0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': -2088.0}, {'J10': 0, 'J11': 1, 'J12': 17, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 20}, {'J10': 0, 'J11': 2, 'J12': 65, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 45}, 
245.0, {'J10': 0, 'J11': -26.5, 'J12': -4412.0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': -2516.0}, {'J10': 0, 'J11': 1, 'J12': 15, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 24}, {'J10': 0, 'J11': 3, 'J12': 64, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 48}, 
250.0, {'J10': 0, 'J11': -24.0, 'J12': -4898.5, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': -2968.5}, {'J10': 0, 'J11': 2, 'J12': 15, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 26}, {'J10': 0, 'J11': 3, 'J12': 63, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 50}, 
255.0, {'J10': 0, 'J11': -54.0, 'J12': -4773.0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': -3472.5}, {'J10': 0, 'J11': 2, 'J12': 13, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 26}, {'J10': 0, 'J11': 3, 'J12': 56, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 52}, 
260.0, {'J10': -1.0, 'J11': -84.0, 'J12': -5092.0, 'J13': -8.0, 'cluster3106249630_3106249631_J60_J61_#5more': -3669.5}, {'J10': 1, 'J11': 2, 'J12': 13, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 30}, {'J10': 1, 'J11': 3, 'J12': 55, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 50}, 
265.0, {'J10': 0, 'J11': -4.5, 'J12': -5002.5, 'J13': -17.0, 'cluster3106249630_3106249631_J60_J61_#5more': -4073.0}, {'J10': 0, 'J11': 2, 'J12': 16, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 34}, {'J10': 0, 'J11': 2, 'J12': 58, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 55}, 
270.0, {'J10': 0, 'J11': -26.5, 'J12': -5599.0, 'J13': -37.0, 'cluster3106249630_3106249631_J60_J61_#5more': -4627.5}, {'J10': 0, 'J11': 2, 'J12': 18, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 35}, {'J10': 0, 'J11': 3, 'J12': 63, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 57}, 
275.0, {'J10': -2.5, 'J11': -18.5, 'J12': -6238.5, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': -5199.5}, {'J10': 1, 'J11': 3, 'J12': 18, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 36}, {'J10': 2, 'J11': 4, 'J12': 68, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 58}, 
280.0, {'J10': -22.5, 'J11': -36.5, 'J12': -6924.0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': -5452.5}, {'J10': 1, 'J11': 2, 'J12': 18, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 39}, {'J10': 2, 'J11': 3, 'J12': 70, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 56}, 
285.0, {'J10': -0.5, 'J11': -20.5, 'J12': -6839.0, 'J13': -2.5, 'cluster3106249630_3106249631_J60_J61_#5more': -4558.5}, {'J10': 1, 'J11': 1, 'J12': 16, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 40}, {'J10': 1, 'J11': 1, 'J12': 65, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 53}, 
290.0, {'J10': -10.5, 'J11': -30.5, 'J12': -6757.5, 'J13': -12.5, 'cluster3106249630_3106249631_J60_J61_#5more': -3777.0}, {'J10': 1, 'J11': 1, 'J12': 14, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 38}, {'J10': 1, 'J11': 1, 'J12': 60, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 48}, 
295.0, {'J10': 0, 'J11': 0, 'J12': -7193.5, 'J13': -27.5, 'cluster3106249630_3106249631_J60_J61_#5more': -3381.0}, {'J10': 0, 'J11': 0, 'J12': 14, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 36}, {'J10': 0, 'J11': 0, 'J12': 59, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 47}, 
300.0, {'J10': -8.0, 'J11': -2.5, 'J12': -7658.5, 'J13': -47.5, 'cluster3106249630_3106249631_J60_J61_#5more': -3873.0}, {'J10': 2, 'J11': 1, 'J12': 14, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 39}, {'J10': 3, 'J11': 1, 'J12': 59, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 54}, 
305.0, {'J10': -11.5, 'J11': -12.5, 'J12': -7301.0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': -4380.5}, {'J10': 2, 'J11': 1, 'J12': 19, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 39}, {'J10': 2, 'J11': 1, 'J12': 60, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 57}, 
310.0, {'J10': 0, 'J11': -2.5, 'J12': -6858.5, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': -4855.5}, {'J10': 0, 'J11': 1, 'J12': 21, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 39}, {'J10': 0, 'J11': 2, 'J12': 64, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 60}, 
315.0, {'J10': -4.0, 'J11': -25.0, 'J12': -7361.5, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': -5459.5}, {'J10': 2, 'J11': 2, 'J12': 22, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 39}, {'J10': 2, 'J11': 3, 'J12': 67, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 61}, 
320.0, {'J10': -40.5, 'J11': -55.0, 'J12': -8036.5, 'J13': -7.0, 'cluster3106249630_3106249631_J60_J61_#5more': -6032.0}, {'J10': 5, 'J11': 2, 'J12': 22, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 39}, {'J10': 7, 'J11': 3, 'J12': 70, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 61}, 
325.0, {'J10': -25.0, 'J11': -24.0, 'J12': -8604.0, 'J13': -29.5, 'cluster3106249630_3106249631_J60_J61_#5more': -6592.5}, {'J10': 2, 'J11': 1, 'J12': 22, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 43}, {'J10': 2, 'J11': 2, 'J12': 74, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 64}, 
330.0, {'J10': 0, 'J11': -11.5, 'J12': -8559.5, 'J13': -59.5, 'cluster3106249630_3106249631_J60_J61_#5more': -7257.0}, {'J10': 0, 'J11': 1, 'J12': 20, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 51}, {'J10': 0, 'J11': 1, 'J12': 67, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 72}, 
335.0, {'J10': -3.0, 'J11': -3.0, 'J12': -9063.0, 'J13': -23.0, 'cluster3106249630_3106249631_J60_J61_#5more': -7987.5}, {'J10': 1, 'J11': 1, 'J12': 20, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 54}, {'J10': 1, 'J11': 1, 'J12': 63, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 76}, 
340.0, {'J10': -26.5, 'J11': -18.5, 'J12': -9240.5, 'J13': -4.0, 'cluster3106249630_3106249631_J60_J61_#5more': -8761.5}, {'J10': 5, 'J11': 2, 'J12': 20, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 56}, {'J10': 6, 'J11': 3, 'J12': 62, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 80}, 
345.0, {'J10': -34.5, 'J11': -48.5, 'J12': -9725.0, 'J13': -17.5, 'cluster3106249630_3106249631_J60_J61_#5more': -9484.5}, {'J10': 3, 'J11': 2, 'J12': 20, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 57}, {'J10': 3, 'J11': 3, 'J12': 64, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 84}, 
350.0, {'J10': 0, 'J11': -84.0, 'J12': -9105.5, 'J13': -41.0, 'cluster3106249630_3106249631_J60_J61_#5more': -10331.0}, {'J10': 0, 'J11': 3, 'J12': 20, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 57}, {'J10': 0, 'J11': 5, 'J12': 62, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 87}, 
