430.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': -11855.5}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, 
435.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': -12015.5}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, 
440.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': -12175.5}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, 
445.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': -12335.5}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, 
450.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': -12495.5}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, 
455.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': -12655.5}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, 
460.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': -12815.5}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, 
465.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': -12975.5}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, 
470.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': -13135.5}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, 
475.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': -13295.5}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, 
480.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': -13455.5}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, 
485.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': -13615.5}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, 
490.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': -13775.5}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, 
495.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': -13935.5}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, 
500.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': -14095.5}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, 
505.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': -14255.5}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, 
510.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': -14415.5}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, 
515.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': -14575.5}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, 
520.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': -14735.5}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, 
525.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': -14895.5}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, 
530.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': -15055.5}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, 
535.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': -15215.5}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, 
540.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': -15375.5}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, 
545.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': -15535.5}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, 
550.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': -15695.5}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, 
555.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': -15855.5}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, 
560.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': -16015.5}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, 
565.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': -16175.5}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, 
570.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': -16335.5}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, 
575.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': -16495.5}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, 
580.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': -16655.5}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, 
585.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': -16815.5}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, 
590.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': -16975.5}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, 
595.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': -17135.5}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, 
600.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': -17295.5}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, 
605.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': -17455.5}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, 
610.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': -17615.5}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, 
615.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': -17775.5}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, 
620.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': -17935.5}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 16}, 
