episode,agent,decision,car_wait,bike_wait,ped_wait,car_queue,bike_queue,ped_queue,reward_mean,reward_min,reward_max,epsilon,mean_q
1,MPLight_MM,136,5198.5,9936.5,21.5,72.0,43.0,3.0,-135.754,-135.754,-135.754,,
1,MPLight_MM,137,5419.0,10369.5,0.0,75.0,46.0,5.0,-158.01,-158.01,-158.01,,
1,MPLight_MM,138,5509.0,10829.5,9.0,76.0,46.0,10.0,-165.192,-165.192,-165.192,,
1,MPLight_MM,139,5809.0,11294.0,16.5,77.0,47.0,3.0,-145.822,-145.822,-145.822,,
1,MPLight_MM,140,4954.0,10209.5,29.0,69.0,44.0,5.0,-143.294,-143.294,-143.294,,
1,MPLight_MM,141,4351.0,9505.5,45.5,64.0,42.0,5.0,-135.76,-135.76,-135.76,,
1,MPLight_MM,142,4575.0,9927.0,69.0,67.0,43.0,8.0,-146.209,-146.209,-146.209,,
1,MPLight_MM,143,4622.5,10234.5,19.5,64.0,41.0,2.0,-122.129,-122.129,-122.129,,
1,MPLight_MM,144,4709.5,10603.0,30.5,65.0,40.0,6.0,-137.317,-137.317,-137.317,,
1,MPLight_MM,145,4965.5,11003.0,56.0,67.0,40.0,10.0,-148.59,-148.59,-148.59,,
1,MPLight_MM,146,4151.5,10068.5,38.0,62.0,38.0,6.0,-128.692,-128.692,-128.692,,
1,MPLight_MM,147,4392.5,8794.0,57.0,60.0,35.0,6.0,-122.891,-122.891,-122.891,,
1,MPLight_MM,148,4604.0,9147.5,2.0,63.0,37.0,1.0,-122.243,-122.243,-122.243,,
1,MPLight_MM,149,4828.5,9517.5,8.0,65.0,37.0,4.0,-127.334,-127.334,-127.334,,
1,MPLight_MM,150,5077.0,9891.0,24.0,67.0,38.0,7.0,-136.783,-136.783,-136.783,,
1,MPLight_MM,151,5055.0,10185.5,28.5,62.0,36.0,5.0,-123.067,-123.067,-123.067,,
1,MPLight_MM,152,5159.0,10548.0,47.5,63.0,39.0,5.0,-130.959,-130.959,-130.959,,
1,MPLight_MM,153,5401.0,10938.0,51.5,65.0,39.0,4.0,-126.777,-126.777,-126.777,,
1,MPLight_MM,154,5643.5,11331.0,66.5,66.0,40.0,3.0,-125.953,-125.953,-125.953,,
1,MPLight_MM,155,5848.0,11731.0,83.5,65.0,40.0,4.0,-128.044,-128.044,-128.044,,
1,MPLight_MM,156,4626.0,11871.5,0.0,65.0,40.0,1.0,-128.044,-128.044,-128.044,,
1,MPLight_MM,157,4029.5,12005.5,3.0,60.0,38.0,4.0,-123.601,-123.601,-123.601,,
1,MPLight_MM,158,4241.5,12386.0,17.5,64.0,39.0,7.0,-135.05,-135.05,-135.05,,
1,MPLight_MM,159,4460.0,12766.5,34.5,65.0,39.0,11.0,-151.505,-151.505,-151.505,,
1,MPLight_MM,160,4708.5,13157.0,1.5,68.0,40.0,3.0,-127.953,-127.953,-127.953,,
1,MPLight_MM,161,4732.5,13286.5,10.5,70.0,41.0,4.0,-134.311,-134.311,-134.311,,
1,MPLight_MM,162,4937.5,13666.5,3.0,69.0,40.0,1.0,-122.771,-122.771,-122.771,,
1,MPLight_MM,163,5210.0,14047.5,4.5,71.0,41.0,4.0,-138.402,-138.402,-138.402,,
1,MPLight_MM,164,5514.0,14462.5,20.5,75.0,44.0,6.0,-152.385,-152.385,-152.385,,
1,MPLight_MM,165,4418.0,13270.5,20.5,69.0,42.0,5.0,-140.76,-140.76,-140.76,,
1,MPLight_MM,166,3334.5,12140.0,0.0,59.0,38.0,3.0,-119.51,-119.51,-119.51,,
1,MPLight_MM,167,3447.0,12522.5,8.5,62.0,39.0,8.0,-136.141,-136.141,-136.141,,
1,MPLight_MM,168,3677.5,12912.5,18.5,63.0,39.0,6.0,-137.141,-137.141,-137.141,,
1,MPLight_MM,169,3743.5,13302.5,13.0,64.0,39.0,2.0,-119.595,-119.595,-119.595,,
1,MPLight_MM,170,3792.5,13698.5,20.0,66.0,41.0,6.0,-136.493,-136.493,-136.493,,
1,MPLight_MM,171,2836.5,13919.0,17.0,67.0,42.0,7.0,-141.851,-141.851,-141.851,,
1,MPLight_MM,172,1844.5,12856.0,41.5,62.0,40.0,6.0,-134.317,-134.317,-134.317,,
1,MPLight_MM,173,1637.0,11866.5,66.5,59.0,40.0,11.0,-143.681,-143.681,-143.681,,
1,MPLight_MM,174,1649.0,12203.0,4.0,63.0,40.0,4.0,-132.226,-132.226,-132.226,,
1,MPLight_MM,175,1805.0,12604.5,5.5,69.0,42.0,6.0,-140.76,-140.76,-140.76,,
1,MPLight_MM,176,2025.5,13038.0,23.5,74.0,45.0,8.0,-155.743,-155.743,-155.743,,
