275.0, {'J10': 0, 'J11': -6765.5, 'J12': -8467.0, 'J13': -5570.5, 'cluster3106249630_3106249631_J60_J61_#5more': -19607.0}, {'J10': 0, 'J11': 14, 'J12': 18, 'J13': 24, 'cluster3106249630_3106249631_J60_J61_#5more': 36}, {'J10': 0, 'J11': 29, 'J12': 43, 'J13': 31, 'cluster3106249630_3106249631_J60_J61_#5more': 55}, 
280.0, {'J10': 0, 'J11': -7055.5, 'J12': -8859.0, 'J13': -5880.5, 'cluster3106249630_3106249631_J60_J61_#5more': -20157.0}, {'J10': 0, 'J11': 14, 'J12': 18, 'J13': 24, 'cluster3106249630_3106249631_J60_J61_#5more': 36}, {'J10': 0, 'J11': 29, 'J12': 43, 'J13': 31, 'cluster3106249630_3106249631_J60_J61_#5more': 55}, 
285.0, {'J10': 0, 'J11': -7345.5, 'J12': -9304.0, 'J13': -6192.5, 'cluster3106249630_3106249631_J60_J61_#5more': -20502.5}, {'J10': 0, 'J11': 14, 'J12': 18, 'J13': 24, 'cluster3106249630_3106249631_J60_J61_#5more': 36}, {'J10': 0, 'J11': 29, 'J12': 49, 'J13': 33, 'cluster3106249630_3106249631_J60_J61_#5more': 53}, 
290.0, {'J10': 0, 'J11': -7637.0, 'J12': -9148.0, 'J13': -6525.5, 'cluster3106249630_3106249631_J60_J61_#5more': -20955.5}, {'J10': 0, 'J11': 14, 'J12': 20, 'J13': 24, 'cluster3106249630_3106249631_J60_J61_#5more': 36}, {'J10': 0, 'J11': 30, 'J12': 47, 'J13': 34, 'cluster3106249630_3106249631_J60_J61_#5more': 56}, 
295.0, {'J10': 0, 'J11': -7937.0, 'J12': -9196.5, 'J13': -6872.5, 'cluster3106249630_3106249631_J60_J61_#5more': -21358.5}, {'J10': 0, 'J11': 14, 'J12': 19, 'J13': 27, 'cluster3106249630_3106249631_J60_J61_#5more': 36}, {'J10': 0, 'J11': 30, 'J12': 46, 'J13': 37, 'cluster3106249630_3106249631_J60_J61_#5more': 56}, 
300.0, {'J10': -6.0, 'J11': -8237.0, 'J12': -9464.5, 'J13': -7246.5, 'cluster3106249630_3106249631_J60_J61_#5more': -21930.5}, {'J10': 1, 'J11': 14, 'J12': 19, 'J13': 28, 'cluster3106249630_3106249631_J60_J61_#5more': 36}, {'J10': 2, 'J11': 30, 'J12': 46, 'J13': 38, 'cluster3106249630_3106249631_J60_J61_#5more': 59}, 
305.0, {'J10': -13.5, 'J11': -8537.0, 'J12': -9838.5, 'J13': -7626.5, 'cluster3106249630_3106249631_J60_J61_#5more': -22465.5}, {'J10': 1, 'J11': 14, 'J12': 20, 'J13': 28, 'cluster3106249630_3106249631_J60_J61_#5more': 36}, {'J10': 1, 'J11': 30, 'J12': 45, 'J13': 38, 'cluster3106249630_3106249631_J60_J61_#5more': 60}, 
310.0, {'J10': -23.5, 'J11': -8837.0, 'J12': -10308.0, 'J13': -8006.5, 'cluster3106249630_3106249631_J60_J61_#5more': -22986.0}, {'J10': 1, 'J11': 14, 'J12': 21, 'J13': 28, 'cluster3106249630_3106249631_J60_J61_#5more': 36}, {'J10': 1, 'J11': 30, 'J12': 51, 'J13': 38, 'cluster3106249630_3106249631_J60_J61_#5more': 57}, 
315.0, {'J10': -33.5, 'J11': -9137.0, 'J12': -9937.0, 'J13': -8386.5, 'cluster3106249630_3106249631_J60_J61_#5more': -23514.5}, {'J10': 1, 'J11': 14, 'J12': 20, 'J13': 28, 'cluster3106249630_3106249631_J60_J61_#5more': 36}, {'J10': 1, 'J11': 30, 'J12': 46, 'J13': 38, 'cluster3106249630_3106249631_J60_J61_#5more': 57}, 
320.0, {'J10': -43.5, 'J11': -9437.0, 'J12': -10351.0, 'J13': -8766.5, 'cluster3106249630_3106249631_J60_J61_#5more': -24093.5}, {'J10': 1, 'J11': 14, 'J12': 20, 'J13': 28, 'cluster3106249630_3106249631_J60_J61_#5more': 36}, {'J10': 1, 'J11': 30, 'J12': 45, 'J13': 38, 'cluster3106249630_3106249631_J60_J61_#5more': 59}, 
