170.0, {'J10': np.float32(0.11378353), 'J11': np.float32(0.02960222), 'J12': np.float32(-0.6641998), 'J13': np.float32(0.39777982), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.8640148)}, {'J10': 0, 'J11': 1, 'J12': 14, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 28}, {'J10': 0, 'J11': 1, 'J12': 38, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 44}, 
175.0, {'J10': np.float32(-0.004625347), 'J11': np.float32(-0.06382979), 'J12': np.float32(-0.7474561), 'J13': np.float32(-0.022201665), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(0.3441258)}, {'J10': 1, 'J11': 1, 'J12': 14, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 26}, {'J10': 1, 'J11': 2, 'J12': 43, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 42}, 
180.0, {'J10': np.float32(-0.007400555), 'J11': np.float32(0.016651249), 'J12': np.float32(-0.559667), 'J13': np.float32(-0.04347826), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(2.6345975)}, {'J10': 0, 'J11': 1, 'J12': 14, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 20}, {'J10': 0, 'J11': 2, 'J12': 45, 'J13': 4, 'cluster3106249630_3106249631_J60_J61_#5more': 33}, 
185.0, {'J10': np.float32(-0.009250694), 'J11': np.float32(-0.07493062), 'J12': np.float32(-0.13228492), 'J13': np.float32(0.037002776), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(0.8334875)}, {'J10': 0, 'J11': 1, 'J12': 14, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 17}, {'J10': 0, 'J11': 2, 'J12': 44, 'J13': 4, 'cluster3106249630_3106249631_J60_J61_#5more': 30}, 
190.0, {'J10': np.float32(-0.012950972), 'J11': np.float32(-0.08788159), 'J12': np.float32(-0.27567068), 'J13': np.float32(-0.07585569), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.53931546)}, {'J10': 0, 'J11': 2, 'J12': 14, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 17}, {'J10': 0, 'J11': 4, 'J12': 44, 'J13': 5, 'cluster3106249630_3106249631_J60_J61_#5more': 29}, 
195.0, {'J10': np.float32(0.02960222), 'J11': np.float32(-0.12950972), 'J12': np.float32(-0.72710454), 'J13': np.float32(-0.08048104), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(0.5319149)}, {'J10': 2, 'J11': 2, 'J12': 14, 'J13': 4, 'cluster3106249630_3106249631_J60_J61_#5more': 15}, {'J10': 2, 'J11': 4, 'J12': 44, 'J13': 5, 'cluster3106249630_3106249631_J60_J61_#5more': 26}, 
200.0, {'J10': np.float32(-0.04810361), 'J11': np.float32(0.39685476), 'J12': np.float32(-0.83256245), 'J13': np.float32(-0.10083256), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(2.2590194)}, {'J10': 3, 'J11': 1, 'J12': 14, 'J13': 4, 'cluster3106249630_3106249631_J60_J61_#5more': 9}, {'J10': 4, 'J11': 1, 'J12': 44, 'J13': 6, 'cluster3106249630_3106249631_J60_J61_#5more': 17}, 
205.0, {'J10': np.float32(0.02867715), 'J11': np.float32(0.04810361), 'J12': np.float32(-0.75763184), 'J13': np.float32(0.2562442), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(1.0582794)}, {'J10': 1, 'J11': 0, 'J12': 14, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 8}, {'J10': 1, 'J11': 0, 'J12': 50, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 15}, 
210.0, {'J10': np.float32(0.020351527), 'J11': np.float32(-0.017576318), 'J12': np.float32(-0.95282143), 'J13': np.float32(0.026827011), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.16281222)}, {'J10': 1, 'J11': 1, 'J12': 14, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 10}, {'J10': 1, 'J11': 1, 'J12': 58, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 19}, 
215.0, {'J10': np.float32(-0.024976874), 'J11': np.float32(-0.04255319), 'J12': np.float32(2.226642), 'J13': np.float32(-0.020351527), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.36632746)}, {'J10': 2, 'J11': 1, 'J12': 12, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 16}, {'J10': 3, 'J11': 2, 'J12': 54, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 29}, 
